Paper,Question Type,QuestionID,CorrectID
B TECH -Physics,Objective,3666942391,3666947542
Section A,,,
B TECH -Physics,Objective,3666942392,3666947545
Section A,,,
B TECH -Physics,Objective,3666942393,3666947549
Section A,,,
B TECH -Physics,Objective,3666942394,3666947554
Section A,,,
B TECH -Physics,Objective,3666942395,3666947558
Section A,,,
B TECH -Physics,Objective,3666942396,3666947563
Section A,,,
TECH -Physics,Objective,3666942397,3666947566
Section A,,,
B TECH -Physics,Objective,3666942398,3666947571
Section A,,,
B TECH -Physics,Objective,3666942399,3666947573
Section A,,,
B TECH -Physics,Objective,3666942400,3666947580
Section A,,,
B TECH -Physics,Objective,3666942401,3666947583
Section A,,,
B TECH -Physics,Objective,3666942402,3666947585
Section A,,,
B TECH -Physics,Objective,3666942403,3666947590
Section A,,,
B TECH -Physics,Objective,3666942404,3666947596
Section A,,,
B TECH -Physics,Objective,3666942405,3666947599
Section A,,,
B TECH -Physics,Objective,3666942406,3666947603
Section A,,,
B TECH -Physics,Objective,3666942407,3666947605
Section A,,,
B TECH -Physics,Objective,3666942408,3666947612
Section A,,,
B TECH -Physics,Objective,3666942409,3666947613
Section A,,,
B TECH -Physics,Objective,3666942410,3666947618
Section A,,,
B TECH -Physics,Numerical,3666942411,313
Section B,,,
B TECH -Physics,Numerical,3666942412,54
Section B,,,
B TECH -Physics,Numerical,3666942413,4
Section B,,,
B TECH -Physics,Numerical,3666942414,125
Section B,,,
B TECH -Physics,Numerical,3666942415,12
Section B,,,
B TECH -Physics,Numerical,3666942416,2
Section B,,,
B TECH -Physics,Numerical,3666942417,1584
Section B,,,
B TECH -Physics,Numerical,3666942418,3
Section B,,,
B TECH -Physics,Numerical,3666942419,300
Section B,,,
B TECH -Physics,Numerical,3666942420,88
Section B,,,
B TECH -Chemistry,Objective,3666942421,3666947631
Section A,,,
B TECH -Chemistry,Objective,3666942422,3666947636
Section A,,,
B TECH -Chemistry,Objective,3666942423,3666947640
Section A,,,
B TECH -Chemistry,Objective,3666942424,3666947644
Section A,,,
B TECH -Chemistry,Objective,3666942425,3666947650
Section A,,,
B TECH -Chemistry,Objective,3666942426,3666947652
Section A,,,
B TECH -Chemistry,Objective,3666942427,3666947656
Section A,,,
B TECH -Chemistry,Objective,3666942428,3666947662
Section A,,,
B TECH -Chemistry,Objective,3666942429,3666947664
Section A,,,
B TECH -Chemistry,Objective,3666942430,3666947667
Section A,,,
