,Paper,Question Type,QuestionID,Correct Option(s)/ Answers,Option(s) ID for Challenge
0,B TECH - Physics Section A,Objective,7155051996,7155056061,7155056061715505606271550560637155056064None of These
1,7155056061,7155056062,7155056063,7155056064,None of These
2,B TECH - Physics Section A,Objective,7155051997,7155056066,7155056065715505606671550560677155056068None of These
3,7155056065,7155056066,7155056067,7155056068,None of These
4,B TECH - Physics Section A,Objective,7155051998,7155056071,7155056069715505607071550560717155056072None of These
5,7155056069,7155056070,7155056071,7155056072,None of These
6,B TECH - Physics Section A,Objective,7155051999,7155056073,7155056073715505607471550560757155056076None of These
7,7155056073,7155056074,7155056075,7155056076,None of These
8,B TECH - Physics Section A,Objective,7155052000,7155056080,7155056077715505607871550560797155056080None of These
9,7155056077,7155056078,7155056079,7155056080,None of These
10,B TECH - Physics Section A,Objective,7155052001,7155056082,7155056081715505608271550560837155056084None of These
11,7155056081,7155056082,7155056083,7155056084,None of These
12,B TECH - Physics Section A,Objective,7155052002,7155056087,7155056085715505608671550560877155056088None of These
13,7155056085,7155056086,7155056087,7155056088,None of These
14,B TECH - Physics Section A,Objective,7155052003,7155056091,7155056089715505609071550560917155056092None of These
15,7155056089,7155056090,7155056091,7155056092,None of These
16,B TECH - Physics Section A,Objective,7155052004,7155056093,7155056093715505609471550560957155056096None of These
17,7155056093,7155056094,7155056095,7155056096,None of These
18,B TECH - Physics Section A,Objective,7155052005,7155056099,7155056097715505609871550560997155056100None of These
19,7155056097,7155056098,7155056099,7155056100,None of These
20,B TECH - Physics Section A,Objective,7155052006,7155056101,7155056101715505610271550561037155056104None of These
21,7155056101,7155056102,7155056103,7155056104,None of These
22,B TECH - Physics Section A,Objective,7155052007,7155056106,7155056105715505610671550561077155056108None of These
23,7155056105,7155056106,7155056107,7155056108,None of These
24,B TECH - Physics Section A,Objective,7155052008,7155056111,7155056109715505611071550561117155056112None of These
25,7155056109,7155056110,7155056111,7155056112,None of These
26,B TECH - Physics Section A,Objective,7155052009,7155056113,7155056113715505611471550561157155056116None of These
27,7155056113,7155056114,7155056115,7155056116,None of These
28,B TECH - Physics Section A,Objective,7155052010,7155056118,7155056117715505611871550561197155056120None of These
29,7155056117,7155056118,7155056119,7155056120,None of These
30,B TECH - Physics Section A,Objective,7155052011,7155056123,7155056121715505612271550561237155056124None of These
31,7155056121,7155056122,7155056123,7155056124,None of These
32,B TECH - Physics Section A,Objective,7155052012,7155056126,7155056125715505612671550561277155056128None of These
33,7155056125,7155056126,7155056127,7155056128,None of These
34,B TECH - Physics Section A,Objective,7155052013,7155056132,7155056129715505613071550561317155056132None of These
35,7155056129,7155056130,7155056131,7155056132,None of These
36,B TECH - Physics Section A,Objective,7155052014,7155056133,7155056133715505613471550561357155056136None of These
37,7155056133,7155056134,7155056135,7155056136,None of These
38,B TECH - Physics Section A,Objective,7155052015,7155056138,7155056137715505613871550561397155056140None of These
39,7155056137,7155056138,7155056139,7155056140,None of These
40,B TECH - Physics Section B,Numerical,7155052016,50,
41,B TECH - Physics Section B,Numerical,7155052017,3,
42,B TECH - Physics Section B,Numerical,7155052018,4,
43,B TECH - Physics Section B,Numerical,7155052019,8,
44,B TECH - Physics Section B,Numerical,7155052020,225,
45,B TECH - Physics Section B,Numerical,7155052021,1,
46,B TECH - Physics Section B,Numerical,7155052022,30,
47,B TECH - Physics Section B,Numerical,7155052023,10,
48,B TECH - Physics Section B,Numerical,7155052024,32,
49,B TECH - Physics Section B,Numerical,7155052025,22,
50,B TECH - Chemistry Section A,Objective,7155052026,7155056151,7155056151715505615271550561537155056154None of These
51,7155056151,7155056152,7155056153,7155056154,None of These
52,B TECH - Chemistry Section A,Objective,7155052027,7155056155,7155056155715505615671550561577155056158None of These
53,7155056155,7155056156,7155056157,7155056158,None of These
54,B TECH - Chemistry Section A,Objective,7155052028,7155056161,7155056159715505616071550561617155056162None of These
55,7155056159,7155056160,7155056161,7155056162,None of These
56,B TECH - Chemistry Section A,Objective,7155052029,7155056164,7155056163715505616471550561657155056166None of These
57,7155056163,7155056164,7155056165,7155056166,None of These
58,B TECH - Chemistry Section A,Objective,7155052030,7155056168,7155056167715505616871550561697155056170None of These
59,7155056167,7155056168,7155056169,7155056170,None of These
60,B TECH - Chemistry Section A,Objective,7155052031,7155056173,7155056171715505617271550561737155056174None of These
61,7155056171,7155056172,7155056173,7155056174,None of These
62,B TECH - Chemistry Section A,Objective,7155052032,7155056178,7155056175715505617671550561777155056178None of These
63,7155056175,7155056176,7155056177,7155056178,None of These
64,B TECH - Chemistry Section A,Objective,7155052033,7155056181,7155056179715505618071550561817155056182None of These
65,7155056179,7155056180,7155056181,7155056182,None of These
66,B TECH - Chemistry Section A,Objective,7155052034,7155056183,7155056183715505618471550561857155056186None of These
67,7155056183,7155056184,7155056185,7155056186,None of These
68,B TECH - Chemistry Section A,Objective,7155052035,7155056187,7155056187715505618871550561897155056190None of These
69,7155056187,7155056188,7155056189,7155056190,None of These
70,B TECH - Chemistry Section A,Objective,7155052036,7155056192,7155056191715505619271550561937155056194None of These
71,7155056191,7155056192,7155056193,7155056194,None of These
72,B TECH - Chemistry Section A,Objective,7155052037,7155056197,7155056195715505619671550561977155056198None of These
73,7155056195,7155056196,7155056197,7155056198,None of These
74,B TECH - Chemistry Section A,Objective,7155052038,7155056200,7155056199715505620071550562017155056202None of These
75,7155056199,7155056200,7155056201,7155056202,None of These
76,B TECH - Chemistry Section A,Objective,7155052039,7155056203,7155056203715505620471550562057155056206None of These
77,7155056203,7155056204,7155056205,7155056206,None of These
78,B TECH - Chemistry Section A,Objective,7155052040,7155056209,7155056207715505620871550562097155056210None of These
79,7155056207,7155056208,7155056209,7155056210,None of These
80,B TECH - Chemistry Section A,Objective,7155052041,7155056212,7155056211715505621271550562137155056214None of These
81,7155056211,7155056212,7155056213,7155056214,None of These
82,B TECH - Chemistry Section A,Objective,7155052042,7155056217,7155056215715505621671550562177155056218None of These
83,7155056215,7155056216,7155056217,7155056218,None of These
84,B TECH - Chemistry Section A,Objective,7155052043,7155056221,7155056219715505622071550562217155056222None of These
85,7155056219,7155056220,7155056221,7155056222,None of These
86,B TECH - Chemistry Section A,Objective,7155052044,7155056225,7155056223715505622471550562257155056226None of These
87,7155056223,7155056224,7155056225,7155056226,None of These
88,B TECH - Chemistry Section A,Objective,7155052045,7155056227,7155056227715505622871550562297155056230None of These
89,7155056227,7155056228,7155056229,7155056230,None of These
90,B TECH - Chemistry Section B,Numerical,7155052046,221,
91,B TECH - Chemistry Section B,Numerical,7155052047,1362,
92,B TECH - Chemistry Section B,Numerical,7155052048,798,
93,B TECH - Chemistry Section B,Numerical,7155052049,0,
94,B TECH - Chemistry Section B,Numerical,7155052050,100,
95,B TECH - Chemistry Section B,Numerical,7155052051,186,
96,B TECH - Chemistry Section B,Numerical,7155052052,10,
97,B TECH - Chemistry Section B,Numerical,7155052053,623,
98,B TECH - Chemistry Section B,Numerical,7155052054,3,
99,B TECH - Chemistry Section B,Numerical,7155052055,4,
100,B TECH - Mathematics Section A,Objective,7155052056,7155056242,7155056241715505624271550562437155056244None of These
101,7155056241,7155056242,7155056243,7155056244,None of These
102,B TECH - Mathematics Section A,Objective,7155052057,7155056247,7155056245715505624671550562477155056248None of These
103,7155056245,7155056246,7155056247,7155056248,None of These
104,B TECH - Mathematics Section A,Objective,7155052058,7155056252,7155056249715505625071550562517155056252None of These
105,7155056249,7155056250,7155056251,7155056252,None of These
106,B TECH - Mathematics Section A,Objective,7155052059,7155056253,7155056253715505625471550562557155056256None of These
107,7155056253,7155056254,7155056255,7155056256,None of These
108,B TECH - Mathematics Section A,Objective,7155052060,7155056257,7155056257715505625871550562597155056260None of These
109,7155056257,7155056258,7155056259,7155056260,None of These
110,B TECH - Mathematics Section A,Objective,7155052061,7155056262,7155056261715505626271550562637155056264None of These
111,7155056261,7155056262,7155056263,7155056264,None of These
112,B TECH - Mathematics Section A,Objective,7155052062,7155056266,7155056265715505626671550562677155056268None of These
113,7155056265,7155056266,7155056267,7155056268,None of These
114,B TECH - Mathematics Section A,Objective,7155052063,7155056269,7155056269715505627071550562717155056272None of These
115,7155056269,7155056270,7155056271,7155056272,None of These
116,B TECH - Mathematics Section A,Objective,7155052064,7155056274,7155056273715505627471550562757155056276None of These
117,7155056273,7155056274,7155056275,7155056276,None of These
118,B TECH - Mathematics Section A,Objective,7155052065,7155056277,7155056277715505627871550562797155056280None of These
119,7155056277,7155056278,7155056279,7155056280,None of These
120,B TECH - Mathematics Section A,Objective,7155052066,7155056282,7155056281715505628271550562837155056284None of These
121,7155056281,7155056282,7155056283,7155056284,None of These
122,B TECH - Mathematics Section A,Objective,7155052067,7155056287,7155056285715505628671550562877155056288None of These
123,7155056285,7155056286,7155056287,7155056288,None of These
124,B TECH - Mathematics Section A,Objective,7155052068,7155056290,7155056289715505629071550562917155056292None of These
125,7155056289,7155056290,7155056291,7155056292,None of These
126,B TECH - Mathematics Section A,Objective,7155052069,7155056295,7155056293715505629471550562957155056296None of These
127,7155056293,7155056294,7155056295,7155056296,None of These
128,B TECH - Mathematics Section A,Objective,7155052070,7155056299,7155056297715505629871550562997155056300None of These
129,7155056297,7155056298,7155056299,7155056300,None of These
130,B TECH - Mathematics Section A,Objective,7155052071,7155056304,7155056301715505630271550563037155056304None of These
131,7155056301,7155056302,7155056303,7155056304,None of These
132,B TECH - Mathematics Section A,Objective,7155052072,7155056307,7155056305715505630671550563077155056308None of These
133,7155056305,7155056306,7155056307,7155056308,None of These
134,B TECH - Mathematics Section A,Objective,7155052073,7155056310,7155056309715505631071550563117155056312None of These
135,7155056309,7155056310,7155056311,7155056312,None of These
136,B TECH - Mathematics Section A,Objective,7155052074,7155056315,7155056313715505631471550563157155056316None of These
137,7155056313,7155056314,7155056315,7155056316,None of These
138,B TECH - Mathematics Section A,Objective,7155052075,7155056320,7155056317715505631871550563197155056320None of These
139,7155056317,7155056318,7155056319,7155056320,None of These
140,B TECH - Mathematics Section B,Numerical,7155052076,26,
141,B TECH - Mathematics Section B,Numerical,7155052077,9,
142,B TECH - Mathematics Section B,Numerical,7155052078,3240,
143,B TECH - Mathematics Section B,Numerical,7155052079,3125,
144,B TECH - Mathematics Section B,Numerical,7155052080,15,
145,B TECH - Mathematics Section B,Numerical,7155052081,12,
146,B TECH - Mathematics Section B,Numerical,7155052082,21,
147,B TECH - Mathematics Section B,Numerical,7155052083,315,
148,B TECH - Mathematics Section B,Numerical,7155052084,37,
149,B TECH - Mathematics Section B,Numerical,7155052085,22,
